"ETA ID","VESSEL ID","PLACE ID","ETA","TERMINAL","VOYAGE","ETA SOURCE","RECORD CREATED","RECORD LAST UPDATED"
282696533,11797730,4761,"20/02/2018 11:00","","","LAN","20/02/2018 10:03:04","20/02/2018 10:03:05"
282794332,11798566,90,"22/02/2018 11:00","","","AIS","22/02/2018 09:11:01","22/02/2018 09:11:04"
282797520,11798570,5333,"04/03/2018 01:00","","","AIS","22/02/2018 11:04:02","22/02/2018 11:04:02"
282679611,11798572,862,"22/02/2018 23:30","","","AIS","20/02/2018 04:03:04","20/02/2018 04:03:04"
282794185,11798575,4827,"18/03/2018 08:00","","","AIS","22/02/2018 09:11:01","22/02/2018 09:11:03"
282715852,11798576,3370,"23/02/2018 21:00","","","AIS","20/02/2018 23:05:00","20/02/2018 23:05:01"
282799904,11798621,731,"24/02/2018 04:00","","","LAN","22/02/2018 14:21:01","22/02/2018 14:21:02"
282677944,11798624,8087,"20/02/2018 08:06","","","AIS","20/02/2018 01:04:03","20/02/2018 01:04:03"
282737914,11798624,913,"24/02/2018 02:00","","","LAN","21/02/2018 01:05:04","21/02/2018 01:05:04"
282781196,11798624,913,"24/02/2018 06:00","","","AIS","22/02/2018 00:06:01","22/02/2018 00:06:01"
282797367,11798625,6138,"22/02/2018 11:00","","","AIS","22/02/2018 11:04:02","22/02/2018 11:04:02"
282784453,11798629,4353,"24/02/2018 08:00","","","AIS","22/02/2018 04:05:02","22/02/2018 04:05:02"
282683694,11798674,3923,"23/03/2018 06:00","","","AIS","20/02/2018 08:05:01","20/02/2018 08:05:01"
