"VESSEL ID","RELATIONSHIP TYPE","CURRENT IND","COMPANY ID","COMPANY NAME","START DATE","START QUALIFIER","END DATE","END QUALIFIER","RECORD LAST UPDATED"
10042836,"BO","Y",7227,"IMC Shipping Company Private Limited","24/08/2017","B","","","20/02/2018"
10042836,"CO","Y",256783,"P.T. Pelita Samudera Shipping","24/08/2017","B","","","20/02/2018"
10042836,"BO","",12411,"Pan-United Corporation Limited","07/07/2009","","23/08/2017","B","20/02/2018"
10042836,"CO","",226300,"Pan-United Shipping Private Limited","07/07/2009","","23/08/2017","B","20/02/2018"
10042836,"TM","Y",256783,"P.T. Pelita Samudera Shipping","24/08/2017","B","","","20/02/2018"
10042836,"TM","",226300,"Pan-United Shipping Private Limited","07/07/2009","","23/08/2017","B","20/02/2018"
12152070,"RO","Y",1246,"Astipalea Shipping Corporation ENE","01/10/2015","A","","","21/02/2018"
10999772,"BO","Y",4590,"Hsu family group","13/05/2011","B","","","21/02/2018"
10999772,"CO","Y",15242,"Sincere Navigation Corporation","13/05/2011","B","","","21/02/2018"
11006395,"BO","Y",4590,"Hsu family group","29/03/2012","B","","","21/02/2018"
11185848,"BO","Y",4590,"Hsu family group","01/01/2013","","","","21/02/2018"
11185848,"CO","Y",15242,"Sincere Navigation Corporation","01/01/2013","","","","21/02/2018"
11185848,"TM","Y",15242,"Sincere Navigation Corporation","01/01/2013","","","","21/02/2018"
11185904,"BO","Y",4590,"Hsu family group","01/01/2013","","","","21/02/2018"
11185904,"CO","Y",15242,"Sincere Navigation Corporation","01/01/2013","","","","21/02/2018"
11185904,"TM","Y",15242,"Sincere Navigation Corporation","01/01/2013","","","","21/02/2018"
12152070,"TM","Y",6579,"Eletson Corporation","01/10/2015","A","","","21/02/2018"
9456082,"RO","Y",500561,"Anonymos Elliniki Eteria Petreleoidon Argo","26/01/2009","B","","","21/02/2018"
9456082,"BO","Y",212646,"Unknown Owners","01/02/2015","","","","21/02/2018"
9456082,"CO","Y",212646,"Unknown Owners","01/02/2015","","","","21/02/2018"
