"VESSEL ID","PSC ID","EVENT TYPE","INSPECTION PLACE","INITIAL DATE","INITIAL DATE QUALIFIER","FINAL DATE","FINAL DATE QUALIFIER","DETENTION IND","DEFICIENCIES IND","INSPECTION PRECIS","RECORD LAST UPDATED"
410805,15360780,"PSC","Zonguldak","02/02/2018","","","","N","N","","20/02/2018"
367133,15360781,"PSC","Zonguldak","02/02/2018","","","","N","N","","20/02/2018"
600985,15360782,"PSC","Batumi","02/02/2018","","","","Y","N","","20/02/2018"
10010803,15360784,"PSC","Chornomorsk","01/02/2018","","","","Y","N","","20/02/2018"
352030,15360785,"PSC","Chornomorsk","01/02/2018","","","","N","N","","20/02/2018"
354957,15360789,"PSC","Odessa","01/02/2018","","","","N","N","","20/02/2018"
356591,15360790,"PSC","Nikolayev","01/02/2018","","","","N","N","","20/02/2018"
11929281,15360792,"PSC","Yuzhnyy","31/01/2018","","","","N","N","","20/02/2018"
290874,15360795,"PSC","Yuzhnyy","31/01/2018","","","","N","N","","20/02/2018"
10998180,15360796,"PSC","Novorossiysk","31/01/2018","","","","Y","N","","20/02/2018"
10086878,15360797,"PSC","Nikolayev","31/01/2018","","","","N","N","","20/02/2018"
387470,15360798,"PSC","Nikolayev","31/01/2018","","","","N","N","","20/02/2018"
8865329,15360799,"PSC","Tuapse","31/01/2018","","","","Y","N","","20/02/2018"
10046589,15360800,"PSC","Tuapse","31/01/2018","","","","Y","N","","20/02/2018"
325333,15360801,"PSC","Novorossiysk","31/01/2018","","","","Y","N","","20/02/2018"
374067,15360805,"PSC","Novorossiysk","31/01/2018","","","","N","N","","20/02/2018"
8301804,15360806,"PSC","Yuzhnyy","30/01/2018","","","","Y","N","","20/02/2018"
294850,15360809,"PSC","Tuapse","30/01/2018","","","","Y","N","","20/02/2018"
355769,15360810,"PSC","Novorossiysk","30/01/2018","","","","Y","N","","20/02/2018"
5004214,15360812,"PSC","Novorossiysk","30/01/2018","","","","Y","N","","20/02/2018"
12331008,15360813,"PSC","Kherson","29/01/2018","","","","N","N","","20/02/2018"
348698,15360815,"PSC","Odessa","29/01/2018","","","","N","N","","20/02/2018"
275857,15360816,"PSC","Nikolayev","29/01/2018","","","","N","N","","20/02/2018"
10656271,15360817,"PSC","Novorossiysk","29/01/2018","","","","Y","N","","20/02/2018"
329577,15360820,"PSC","Novorossiysk","29/01/2018","","","","Y","N","","20/02/2018"
3744412,15360821,"PSC","Novorossiysk","29/01/2018","","","","Y","N","","20/02/2018"
411526,15360822,"PSC","Odessa","29/01/2018","","","","N","N","","20/02/2018"
7875513,15360823,"PSC","Odessa","29/01/2018","","","","N","N","","20/02/2018"
406954,15360824,"PSC","Nikolayev","29/01/2018","","","","N","N","","20/02/2018"
358121,15360825,"PSC","Nikolayev","29/01/2018","","","","N","N","","20/02/2018"
9700444,15360829,"PSC","Yuzhnyy","26/01/2018","","","","Y","N","","20/02/2018"
12050344,15360830,"PSC","Yuzhnyy","26/01/2018","","","","Y","N","","20/02/2018"
135006,15360831,"PSC","Yuzhnyy","26/01/2018","","","","Y","N","","20/02/2018"
350436,15360833,"PSC","Chornomorsk","26/01/2018","","","","N","N","","20/02/2018"
284875,15360835,"PSC","Nikolayev","26/01/2018","","","","N","N","","20/02/2018"
10996577,15360836,"PSC","Nikolayev","26/01/2018","","","","N","N","","20/02/2018"
273829,15360837,"PSC","Chornomorsk","25/01/2018","","","","Y","N","","20/02/2018"
12077916,15360838,"PSC","Yuzhnyy","25/01/2018","","","","Y","N","","20/02/2018"
349998,15360839,"PSC","Yuzhnyy","25/01/2018","","","","N","N","","20/02/2018"
12209758,15360840,"PSC","Yuzhnyy","22/01/2018","","","","Y","N","","20/02/2018"
346917,15373317,"PSC","Novorossiysk","08/02/2018","","","","Y","Y","","20/02/2018"
10997508,15373320,"PSC","Tuapse","05/02/2018","","","","Y","Y","","20/02/2018"
761456,15373324,"PSC","Kulevi","12/02/2018","","","","N","N","","20/02/2018"
12218305,15373326,"PSC","Zonguldak","12/02/2018","","","","N","N","","20/02/2018"
12237212,15373327,"PSC","Zonguldak","12/02/2018","","","","N","N","","20/02/2018"
255612,15373330,"PSC","Batumi","12/02/2018","","","","Y","N","","20/02/2018"
355727,15373331,"PSC","Novorossiysk","12/02/2018","","","","N","N","","20/02/2018"
2665455,15373332,"PSC","Novorossiysk","11/02/2018","","","","Y","N","","20/02/2018"
12441851,15373333,"PSC","Taman","11/02/2018","","","","N","N","","20/02/2018"
322264,15373337,"PSC","Taman","10/02/2018","","","","Y","N","","20/02/2018"
325312,15373338,"PSC","Novorossiysk","10/02/2018","","","","Y","N","","20/02/2018"
351944,15373339,"PSC","Novorossiysk","10/02/2018","","","","N","N","","20/02/2018"
332034,15373341,"PSC","Tuapse","09/02/2018","","","","Y","N","","20/02/2018"
339463,15373342,"PSC","Nikolayev","09/02/2018","","","","N","N","","20/02/2018"
12203993,15373343,"PSC","Novorossiysk","09/02/2018","","","","N","N","","20/02/2018"
1942852,15373344,"PSC","Taman","09/02/2018","","","","Y","N","","20/02/2018"
10151686,15373345,"PSC","Novorossiysk","09/02/2018","","","","Y","N","","20/02/2018"
317662,15373346,"PSC","Novorossiysk","09/02/2018","","","","Y","N","","20/02/2018"
763048,15373349,"PSC","Novorossiysk","09/02/2018","","","","N","N","","20/02/2018"
12117360,15373351,"PSC","Poti","08/02/2018","","","","Y","N","","20/02/2018"
286465,15373352,"PSC","Yuzhnyy","08/02/2018","","","","Y","N","","20/02/2018"
12236384,15373353,"PSC","Yuzhnyy","08/02/2018","","","","N","N","","20/02/2018"
202361,15373354,"PSC","Nikolayev","08/02/2018","","","","N","N","","20/02/2018"
458787,15373356,"PSC","Novorossiysk","08/02/2018","","","","Y","N","","20/02/2018"
346934,15373357,"PSC","Novorossiysk","08/02/2018","","","","N","N","","20/02/2018"
12239420,15373361,"PSC","Chornomorsk","07/02/2018","","","","Y","N","","20/02/2018"
11821794,15373362,"PSC","Yuzhnyy","07/02/2018","","","","N","N","","20/02/2018"
4047588,15373363,"PSC","Novorossiysk","07/02/2018","","","","Y","N","","20/02/2018"
9638606,15373365,"PSC","Novorossiysk","07/02/2018","","","","Y","N","","20/02/2018"
348045,15373366,"PSC","Novorossiysk","07/02/2018","","","","N","N","","20/02/2018"
9419771,15373367,"PSC","Nikolayev","07/02/2018","","","","N","N","","20/02/2018"
393156,15373368,"PSC","Nikolayev","07/02/2018","","","","N","N","","20/02/2018"
361650,15373369,"PSC","Novorossiysk","07/02/2018","","","","N","N","","20/02/2018"
329400,15373370,"PSC","Batumi","07/02/2018","","","","Y","N","","20/02/2018"
10070478,15373372,"PSC","Taman","07/02/2018","","","","N","N","","20/02/2018"
306975,15373373,"PSC","Odessa","06/02/2018","","","","Y","N","","20/02/2018"
11017188,15373374,"PSC","Odessa","06/02/2018","","","","N","N","","20/02/2018"
296141,15373376,"PSC","Eregli","06/02/2018","","","","Y","N","","20/02/2018"
11821668,15373378,"PSC","Yuzhnyy","06/02/2018","","","","N","N","","20/02/2018"
8924422,15373380,"PSC","Odessa","06/02/2018","","","","N","N","","20/02/2018"
