"VESSEL ID","FLAG ID","FLAG CODE","CURRENT IND","START DATE","START QUALIFIER","END DATE","END QUALIFIER","RECORD LAST UPDATED"
12152070,11875952,"GRC","Y","01/09/2015","B","","","21/02/2018"
12152075,12167813,"GRC","Y","25/02/2015","B","","","20/02/2018"
12152077,11875966,"GRC","Y","01/01/2016","B","","","21/02/2018"
12152079,11875970,"GRC","Y","01/10/2013","B","","","20/02/2018"
12152080,11875972,"GRC","Y","01/10/2013","B","","","20/02/2018"
12238093,11964087,"GRC","Y","01/01/2000","A","","","20/02/2018"
12238110,12335430,"GRC","Y","09/01/2016","B","","","20/02/2018"
12238196,11964248,"GRC","Y","01/03/2006","B","","","20/02/2018"
12239431,11965913,"GRC","Y","11/02/2014","B","","","20/02/2018"
12258766,11988105,"GRC","Y","08/07/2014","B","","","20/02/2018"
12258788,11988139,"GRC","Y","08/07/2014","B","","","20/02/2018"
12258789,12336377,"GRC","Y","15/01/2016","B","","","20/02/2018"
12331105,12062688,"GRC","Y","28/10/2014","B","","","20/02/2018"
12415959,12149212,"GRC","Y","31/12/2014","B","","","20/02/2018"
12423758,12157294,"GRC","Y","03/02/2015","B","","","20/02/2018"
12499929,12235623,"GRC","Y","02/06/2015","B","","","20/02/2018"
12531525,12268206,"GRC","Y","21/07/2015","B","","","20/02/2018"
12568482,12306374,"MHL","","12/02/2018","O","13/02/2018","O","20/02/2018"
12569968,12307958,"MLT","Y","10/01/2018","A","","","20/02/2018"
12574766,12313143,"UNK","","15/10/2015","B","03/01/2018","B","20/02/2018"
12574766,12313144,"MLT","Y","04/01/2018","B","","","20/02/2018"
12577758,12319046,"LBR","Y","03/11/2015","B","","","20/02/2018"
12600023,12343221,"GRC","Y","14/02/2016","B","","","20/02/2018"
12695272,12438849,"GRC","Y","30/05/2016","B","","","20/02/2018"
12720644,12462557,"GRC","Y","16/06/2016","B","","","20/02/2018"
12730342,12468970,"GRC","Y","13/07/2016","B","","","20/02/2018"
12735777,12472667,"GRC","Y","27/07/2016","B","","","20/02/2018"
12741861,12478947,"GRC","Y","24/08/2016","B","","","20/02/2018"
12775185,12515922,"CHN","","07/03/2017","B","08/01/2018","B","20/02/2018"
12775185,12571070,"BLZ","Y","09/01/2018","B","","","20/02/2018"
12775370,12516148,"GRC","Y","09/03/2017","B","","","20/02/2018"
12825899,12547234,"GRC","Y","28/08/2017","B","","","20/02/2018"
12909852,12574239,"IDN","Y","31/12/2007","B","","","20/02/2018"
12909868,12574249,"IDN","Y","20/02/2018","B","","","21/02/2018"
